spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,x,y
1804,"T. Timasheva to Sergey Sergeevich Prokofiev, 07 October 1921","Box: 1; Folder: 1921, October","Binder II, page 148",07 October 1921,exact,T. Timasheva,not_stated,not_stated,Baden-Baden,,Baden-Baden,Sergey Sergeevich Prokofiev,not_stated,c/o Haensel & Jones,New York,,"c/o Haensel & Jones, New York",original,postcard,handwritten,Russian,,-74.002464,40.7320335
1805,"Pierre Petrovich Souvchinsky to Sergey Sergeevich Prokofiev, 10 October 1921","Box: 1; Folder: 1921, October","Binder II, page 130",10 October 1921,exact,Pierre Petrovich Souvchinsky,not_stated,not_stated,Sofia,,Sofia,Sergey Sergeevich Prokofiev,not_stated,c/o Haensel & Jones,New York,,"c/o Haensel & Jones, New York",original,postcard,handwritten,Russian,,-74.002464,40.7320335
1806,"Émile Polo to Sergey Sergeevich Prokofiev, 12 October 1921","Box: 1; Folder: 1921, October","Binder II, page 121",12 October 1921,exact,Émile Polo,not_stated,not_stated,Nantes,,Nantes,Sergey Sergeevich Prokofiev,not_stated,not_stated,Paris,,Paris,original,letter,typed,French,,2.34144,48.85721
1813,"not_stated to Sergey Sergeevich Prokofiev, 28 October 1921","Box: 1; Folder: 1921, October","Binder II, page 138",28 October 1921,exact,not_stated,not_stated,not_stated,not_stated,,not_stated,Sergey Sergeevich Prokofiev,not_stated,Auditorium Hotel,Chicago,,"Auditorium Hotel, Chicago",original,postcard,handwritten,Russian,Signed: 'V.M.' Postmarked Latvia.,-87.63245,41.88425
1823,"Fitzhugh Haensel to Sergey Sergeevich Prokofiev, 21 November 1921","Box: 1; Folder: 1921, November","Binder II, page 154",21 November 1921,exact,Fitzhugh Haensel,not_stated,33 West 42nd Street,New York,,"33 West 42nd Street, New York",Sergey Sergeevich Prokofiev,not_stated,not_stated,Chicago,,Chicago,original,letter,typed,English,,-87.63245,41.88425
1829,"Boris Stepanovich Zakharov to Sergey Sergeevich Prokofiev, 05 December 1921","Box: 1; Folder: 1921, December","Binder II, page 183",05 December 1921,exact,Boris Stepanovich Zakharov,not_stated,not_stated,Paris,,Paris,Sergey Sergeevich Prokofiev,not_stated,Auditorium Theatre,Chicago,,"Auditorium Theatre, Chicago",original,postcard,handwritten,Russian,,-87.63245,41.88425
1840,"C. A. Shaw to Sergey Sergeevich Prokofiev, 24 December 1921","Box: 1; Folder: 1921, December","Binder II, page 182",24 December 1921,exact,C. A. Shaw,not_stated,Auditorium Theatre,Chicago,,"Auditorium Theatre, Chicago",Sergey Sergeevich Prokofiev,not_stated,not_stated,Chicago,,Chicago,original,letter,typed,English,,-87.63245,41.88425
1842,"Pavel Khristoforovich Shubert to Sergey Sergeevich Prokofiev, 25 December 1921","Box: 1; Folder: 1921, December",not_applicable,25 December 1921,exact,Pavel Khristoforovich Shubert,not_stated,not_stated,Riga,,Riga,Sergey Sergeevich Prokofiev,not_stated,859 7th Avenue,New York,,"859 7th Avenue, New York",original,postcard,handwritten,Russian,,-73.98086375,40.76433596
1844,"Boris Stepanovich Zakharov to Sergey Sergeevich Prokofiev, 25 December 1921",not_stated,"Binder III, page 1",25 December 1921,exact,Boris Stepanovich Zakharov,not_stated,not_stated,Riga,,Riga,Sergey Sergeevich Prokofiev,not_stated,859 7 Avenue,New York,,"859 7 Avenue, New York",photocopy,postcard,handwritten,Russian,From Boris Zakharov and Pavel Shubert,-73.98086375,40.76433596
1850,"not_stated to Sergey Sergeevich Prokofiev, 1921-xx-xx",not_stated,"Binder XLI, page 34",1921-xx-xx,exact,not_stated,not_stated,not_stated,Helsingfors,,Helsingfors,Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Brévin-les-Pins,,St. Brévin-les-Pins,photocopy,telegram,handwritten,French,Originator: 'Boris'.,-2.1652,47.2484
