spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,FID,Country,x,y
2039,"Alexander Smallens to Sergey Sergeevich Prokofiev, 06 September 1922","Box: 1; Folder: 1922, September","Binder III, page 281",06 September 1922,exact,Alexander Smallens,not_stated,not_stated,Berlin,,Berlin,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,English,,37,,13.3769100001127,52.5160400001679
2044,"Norbert Salter to Sergey Sergeevich Prokofiev, 21 September 1922","Box: 1; Folder: 1922, September","Binder III, page 289",21 September 1922,exact,Norbert Salter,not_stated,Augsburgerstrasse 52,Berlin,,"Augsburgerstrasse 52, Berlin",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,German,,38,,13.331397893797,52.5031095546884
2047,"Ephraim Gottlieb to Sergey Sergeevich Prokofiev, 21 September 1922","Box: 1; Folder: 1922, September","Binder III, page 297",21 September 1922,exact,Ephraim Gottlieb,not_stated,"39 South La Salle Street, Suite 418-24",Chicago,,"39 South La Salle Street, Suite 418-24, Chicago",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,English,,39,,-87.6323466033089,41.8808608636857
2050,"Vladimir Nikolaevich Tsederbaum to Sergey Sergeevich Prokofiev, 30 September 1922","Box: 1; Folder: 1922, September","Binder III, page 308",30 September 1922,exact,Vladimir Nikolaevich Tsederbaum,not_stated,12 Rue José Maria de Hérédia,Paris,,"12 Rue José Maria de Hérédia, Paris",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,40,,2.30761057717238,48.8478391712464
2054,"Alexei Fedorovich Staal to Sergey Sergeevich Prokofiev, 04 October 1922","Box: 1; Folder: 1922, October","Binder III, page 306",04 October 1922,exact,Alexei Fedorovich Staal,not_stated,6 Rue Blaise Desgoffe,Paris,,"6 Rue Blaise Desgoffe, Paris",Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,Ettal,Germany,"Villa Christophorus, Ettal",original,letter,handwritten,Russian,,41,,2.32439940621461,48.8458259999422
2055,"not_stated to Sergey Sergeevich Prokofiev, 07 October 1922","Box: 1; Folder: 1922, October","Binder III, page 310",07 October 1922,exact,not_stated,not_stated,13 Rue Bréderode,Brussels,,"13 Rue Bréderode, Brussels",Sergey Sergeevich Prokofiev,not_stated,not_stated,Paris,,Paris,original,letter,typed,French,,42,,4.3609136858299,50.8405245619612
2056,"Boris Stepanovich Zakharov to Sergey Sergeevich Prokofiev, 07 October 1922","Box: 1; Folder: 1922, October","Binder III, page 313",07 October 1922,exact,Boris Stepanovich Zakharov,not_stated,not_stated,Munich,,Munich,Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,postcard,handwritten,Russian,,43,,11.5775399996518,48.1364100002352
2059,"Eleonora Alexandrovna Damskaya to Sergey Sergeevich Prokofiev, 07 October 1922","Box: 1; Folder: 1922, October","Binder III, page 312",07 October 1922,exact,Eleonora Alexandrovna Damskaya,not_stated,not_stated,Petrograd,,Petrograd,Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,telegram,handwritten,German,,44,,30.2641700001701,59.8944400000652
2060,"Olga Mozhaiskaya to Sergey Sergeevich Prokofiev, 08 October 1922","Box: 1; Folder: 1922, October","Binder III, page 317",08 October 1922,exact,Olga Mozhaiskaya,not_stated,5 bis Rue Henri Martin,Paris,,"5 bis Rue Henri Martin, Paris",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,45,,2.27222145014774,48.8638266143408
2062,"Vladimir Nikolaevich Tsederbaum to Sergey Sergeevich Prokofiev, 10 October 1922","Box: 1; Folder: 1922, October","Binder III, page 321",10 October 1922,exact,Vladimir Nikolaevich Tsederbaum,not_stated,12 Rue José Maria de Hérédia,Paris,,"12 Rue José Maria de Hérédia, Paris",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,46,,2.30761057717238,48.8478391712464
