spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,x,y
5865,"Sergey Sergeevich Prokofiev to Vladimir Vladimirovich Derzhanovsky, 04 October 1928","Box: 2; Folder: 1928, October","Binder XIX, page 20",04 October 1928,exact,Sergey Sergeevich Prokofiev,not_stated,Château de Vétraz,Annemasse,,"Château de Vétraz, Annemasse",Vladimir Vladimirovich Derzhanovsky,not_stated,not_stated,Moscow,,Moscow,original,letter,draft,Russian,Typed draft.,37.61501,55.75696
5866,"Sergey Sergeevich Prokofiev to Boris Vladimirovich Asafiev, 04 October 1928","Box: 2; Folder: 1928, October","Binder XIX, page 86",04 October 1928,exact,Sergey Sergeevich Prokofiev,not_stated,Château de Vétraz,Annemasse,,"Château de Vétraz, Annemasse",Boris Vladimirovich Asafiev,not_stated,not_stated,Paris,,Paris,original,letter,draft,Russian,Typed draft. Note in SP's hand: 'Prisilaiu telegrammu'.,2.34144,48.85721
5868,"Sergey Sergeevich Prokofiev to Clerical assistant, 04 October 1928","Box: 2; Folder: 1928, October","Binder XIX, page 87",04 October 1928,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,Clerical assistant,Edition Musique,not_stated,Paris,,Paris,original,telegram,draft,French,,2.34144,48.85721
5872,"Sergey Sergeevich Prokofiev to Jean Fassina, 11 October 1928","Box: 2; Folder: 1928, October","Binder XIX, page 96",11 October 1928,exact,Sergey Sergeevich Prokofiev,not_stated,22 Rue d'Anjou,Paris,,"22 Rue d'Anjou, Paris",Jean Fassina,not_stated,11 Quai des Deux-Emmanuel,Nice,,"11 Quai des Deux-Emmanuel, Nice",original,letter,draft,French,Typed draft.,7.286334066,43.69709088
5875,"Sergey Sergeevich Prokofiev to Swiss Consul, 11 October 1928","Box: 2; Folder: 1928, October","Binder XIX, page 100",11 October 1928,exact,Sergey Sergeevich Prokofiev,not_stated,22 Rue d'Anjou,Paris,,"22 Rue d'Anjou, Paris",Swiss Consul,not_stated,6 Quai des Brotteaux,Lyon,,"6 Quai des Brotteaux, Lyon",original,letter,draft,French,Typed draft.,4.857017984,45.76953863
5876,"Sergey Sergeevich Prokofiev to Vladimir Alexandrovich Dranishnikov, 11 October 1928","Box: 2; Folder: 1928, October","Binder XIX, page 107",11 October 1928,exact,Sergey Sergeevich Prokofiev,not_stated,22 Rue d'Anjou,Paris,,"22 Rue d'Anjou, Paris",Vladimir Alexandrovich Dranishnikov,not_stated,not_stated,Leningrad,,Leningrad,original,letter,draft,Russian,Typed draft.,30.26417,59.89444
5879,"Sergey Sergeevich Prokofiev to E. Robert Schmitz, 13 October 1928","Box: 2; Folder: 1928, October","Binder XIX, page 105",13 October 1928,exact,Sergey Sergeevich Prokofiev,not_stated,22 Rue d'Anjou,Paris,,"22 Rue d'Anjou, Paris",E. Robert Schmitz,not_stated,130 West 42nd Street,New York,,130 West 42nd Street,original,letter,draft,French,Typed draft.,-73.98529298,40.75531783
5881,"Sergey Sergeevich Prokofiev to Natalia Koussevitzkaya, 15 October 1928","Box: 2; Folder: 1928, October","Binder XIX, page 109",15 October 1928,exact,Sergey Sergeevich Prokofiev,not_stated,22 Rue d'Anjou,Paris,,"22 Rue d'Anjou, Paris",Natalia Koussevitzkaya,not_stated,not_stated,Boston,,Boston,original,letter,draft,Russian,Typed draft.,-71.05674,42.35866
5883,"Sergey Sergeevich Prokofiev to Ekaterina Grigorevna Raevskaya, 15 October 1928","Box: 2; Folder: 1928, October","Binder XIX, page 112",15 October 1928,exact,Sergey Sergeevich Prokofiev,not_stated,22 Rue d'Anjou,Paris,,"22 Rue d'Anjou, Paris",Ekaterina Grigorevna Raevskaya,not_stated,not_stated,Kadnikov,,Kadnikov,original,letter,draft,Russian,Typed draft.,40.35569,59.49655
5884,"Sergey Sergeevich Prokofiev to Vladimir Alexandrovich Dranishnikov, 16 October 1928","Box: 2; Folder: 1928, October","Binder XIX, page 113",16 October 1928,exact,Sergey Sergeevich Prokofiev,not_stated,22 Rue d'Anjou,Paris,,"22 Rue d'Anjou, Paris",Vladimir Alexandrovich Dranishnikov,not_stated,not_stated,Leningrad,,Leningrad,original,letter,draft,Russian,Typed draft.,30.26417,59.89444
