SPA id,item_title,container,goldsmiths,date,date_qualifier,Sender,sender_organization,sender_address,sender_city,sender_country,address,Recipient,recipient_organization,recipient_address,recipient_city,recipient_country,address,format,document_type,format,language,notes,x,y
1602,"Sergey Sergeevich Prokofiev to Maria Grigorievna Prokofieva, 20 December 1920",not_stated,"Binder XLIII, page 78",20 December 1920,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,San Francisco,,San Francisco,Maria Grigorievna Prokofieva,not_stated,19 Rue Ballu,Paris,,"19 Rue Ballu, Paris",photocopy,postcard,handwritten,Russian,,-122.41964,37.77712
1603,"Sergey Sergeevich Prokofiev to Igor Fedorovich Stravinsky, 22 December 1920",not_stated,"Binder XLI, page 31",22 December 1920,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Tijuana,,Tijuana,Igor Fedorovich Stravinsky,not_stated,not_stated,Garches,,Garches,photocopy,postcard,handwritten,Russian,,-117.04097,32.53505
1605,"Sergey Sergeevich Prokofiev to Maria Grigorievna Prokofieva, 26 December 1920",not_stated,"Binder XLIII, page 80",26 December 1920,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Los Angeles,,Los Angeles,Maria Grigorievna Prokofieva,not_stated,19 Rue Ballu,Paris,,"19 Rue Ballu, Paris",photocopy,postcard,handwritten,Russian,,-118.24532,34.05349
1606,"Sergey Sergeevich Prokofiev to José Raoul Capablanca, 28 December 1920",not_stated,"Binder XLI, page 32",28 December 1920,exact,Sergey Sergeevich Prokofiev,not_stated,4th and S. Hill Sts.,Los Angeles,,"4th and S. Hill Sts., Los Angeles",José Raoul Capablanca,not_stated,not_stated,Havana,,Havana,photocopy,letter,draft,English,,-118.250433,34.050222
1607,"Sergey Sergeevich Prokofiev to Fatma Samoilenko, 29 December 1920",not_stated,"Binder XLII, page 50",29 December 1920,exact,Sergey Sergeevich Prokofiev,not_stated,4th and S. Hill Sts.,Los Angeles,,"4th and S. Hill Sts., Los Angeles",Fatma Samoilenko,not_stated,75 Avenue des Champs-Élysées,Paris,,"75 Avenue des Champs-Élysées, Paris",photocopy,letter,handwritten,Russian,,-118.250433,34.050222
1608,"Sergey Sergeevich Prokofiev to Maria Grigorievna Prokofieva, 30 December 1920",not_stated,"Binder XLIII, page 81",30 December 1920,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Los Angeles,,Los Angeles,Maria Grigorievna Prokofieva,not_stated,19 Rue Ballu,Paris,,"19 Rue Ballu, Paris",photocopy,postcard,handwritten,Russian,,-118.24532,34.05349
1609,"Sergey Sergeevich Prokofiev to Nina Pavlovna Koshetz, 31 December 1920",not_stated,"Binder XLII, page 8",31 December 1920,exact,Sergey Sergeevich Prokofiev,not_stated,4th and S. Hill Sts.,Los Angeles,,"4th and S. Hill Sts., Los Angeles",Nina Pavlovna Koshetz,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,handwritten,Russian,,-118.250433,34.050222
1613,"Sergey Sergeevich Prokofiev to Henri Prunières, 03 January 1921","Box: 1; Folder: 1921, January","Binder XLI, page 44",03 January 1921,exact,Sergey Sergeevich Prokofiev,not_stated,4th and S. Hill Sts.,Los Angeles,,"4th and S. Hill Sts., Los Angeles",Henri Prunières,not_stated,not_stated,Paris,,Paris,original,letter,draft,French,,-118.250433,34.050222
1618,"Sergey Sergeevich Prokofiev to Motoo Ohtaguro, 07 January 1921","Box: 1; Folder: 1921, January","Binder XLI, page 46",07 January 1921,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Los Angeles,,Los Angeles,Motoo Ohtaguro,not_stated,not_stated,not_stated,,not_stated,original,letter,draft,English,,-118.24532,34.05349
1620,"Sergey Sergeevich Prokofiev to Ephraim Gottlieb, 08 January 1921","Box: 1; Folder: 1921, January","Binder XLI, page 49",08 January 1921,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Los Angeles,,Los Angeles,Ephraim Gottlieb,not_stated,not_stated,Chicago,,Chicago,original,telegram,draft,English,,-118.24532,34.05349
