spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_full_address,original,document_type,format,language,notes
11069,"Director to Sergei Sergeevich Prokofiev, 08 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 318",08 August 1933,exact,Director,"Universal Edition, A.G.",1 Karlsplatz,Vienna,"1 Karlsplatz, Vienna",Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",original,letter,typed,German,
11072,"Guido Boni to Sergei Sergeevich Prokofiev, 09 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 319",09 August 1933,exact,Guido Boni,Regia Accademia di Santa Cecilia,Via Vittoria 6,Rome,"Via Vittoria 6, Rome",Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",original,letter,typed,French,
11073,"Director to Sergei Sergeevich Prokofiev, 09 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 320",09 August 1933,exact,Director,Foetisch Frères S.A.,5 Rue Carolins,Lausanne,"5 Rue Carolins, Lausanne",Sergei Sergeevich Prokofiev,not_stated,22 Rue d'Anjou,Paris,"22 Rue d'Anjou, Paris",original,letter,typed,French,
11074,"Tatiana Magalova to Sergei Sergeevich Prokofiev, 10 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 322",10 August 1933,exact,Tatiana Magalova,not_stated,not_stated,Monte-Carlo,Monte-Carlo,Sergei Sergeevich Prokofiev,not_stated,not_stated,not_stated,not_stated,original,letter,handwritten,Russian,
11075,"Sviatoslav Sergeevich Prokofiev to Sergei Sergeevich Prokofiev, 10 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 324",10 August 1933,exact,Sviatoslav Sergeevich Prokofiev,not_stated,not_stated,Le Cannet,Le Cannet,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",original,postcard,handwritten,Russian,
11076,"André Mangeot to Sergei Sergeevich Prokofiev, 12 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 326",12 August 1933,exact,André Mangeot,not_stated,21 Cresswell Place,London,"21 Cresswell Place, London",Sergei Sergeevich Prokofiev,not_stated,not_stated,not_stated,not_stated,original,letter,handwritten,French,
11077,"not_stated to Marcel de Valmalète, 12 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 338",12 August 1933,exact,not_stated,not_stated,not_stated,Barcelona,Barcelona,Marcel de Valmalète,not_stated,45-47 Rue La Boétie,Paris,"45-47 Rue La Boétie, Paris",original,postcard,typed,French,
11078,"Gleb Dmitrievich Kharlamov to Sergei Sergeevich Prokofiev, 13 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 328",13 August 1933,exact,Gleb Dmitrievich Kharlamov,not_stated,not_stated,Moscow,Moscow,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",original,telegram,typed,Russian,
11079,"Sergei Sergeevich Prokofiev to Gleb Dmitrievich Kharlamov, 14 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 329",14 August 1933,exact,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",Gleb Dmitrievich Kharlamov,not_stated,not_stated,Moscow,Moscow,original,letter,draft,Russian,Typed draft. Recipient's full address: 'Ul. Gorkogo 81'.
11080,"Erik Chisholm to Sergei Sergeevich Prokofiev, 14 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 330",14 August 1933,exact,Erik Chisholm,not_stated,118 University Avenue,Glasgow,"118 University Avenue, Glasgow",Sergei Sergeevich Prokofiev,not_stated,not_stated,not_stated,not_stated,original,letter,handwritten,English,
11081,"Mikhail Fedorovich Astrof to Director, 14 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 331",14 August 1933,exact,Mikhail Fedorovich Astrof,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",Director,not_stated,not_stated,Lausanne,Lausanne,original,letter,draft,French,Typed draft.
11082,"Count San Martino to Sergei Sergeevich Prokofiev, 15 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 332",15 August 1933,exact,Count San Martino,not_stated,not_stated,Bayreuth,Bayreuth,Sergei Sergeevich Prokofiev,not_stated,not_stated,not_stated,not_stated,original,letter,typed,French,
11083,"Frederick Stock to Sergei Sergeevich Prokofiev, 15 August 1933","Box: 5; Folder: 1933, July","Binder XXXIV, page 333",15 August 1933,exact,Frederick Stock,not_stated,1325 Astor Street,Chicago,"1325 Astor Street, Chicago",Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",original,letter,typed,English,
11084,"Clerical assistant to Sergei Sergeevich Prokofiev, 15 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 334",15 August 1933,exact,Clerical assistant,Organization Artistique Internationale Marcel de Valmaléte & Cie.,45-47 Rue La Boétie,Paris,"45-47 Rue La Boétie, Paris",Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",original,letter,typed,French,Originator: 'Schiff/Scief' (?)
11085,"Sergei Sergeevich Prokofiev to Erik Chisholm, 16 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 336",16 August 1933,exact,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",Erik Chisholm,not_stated,118 University Avenue,Glasgow,"118 University Avenue, Glasgow",original,letter,draft,English,Typed draft.
11086,"Sergei Sergeevich Prokofiev to Director, 16 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 327",16 August 1933,exact,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",Director,Haensel & Jones,113 West 57th Street,New York,"113 West 57th Street, New York",original,letter,draft,English,Typed draft. XXXIV/ 327 is also in answer to XXXIV/ 234 and XXXIV/ 251.
11087,"Gleb Dmitrievich Kharlamov to Sergei Sergeevich Prokofiev, 16 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 340",16 August 1933,exact,Gleb Dmitrievich Kharlamov,Mezhrabpom-Film,Gorkogo Ul. 81,Moscow,"Gorkogo Ul. 81, Moscow",Sergei Sergeevich Prokofiev,not_stated,not_stated,not_stated,not_stated,original,letter,typed,Russian,Also signed by 'Babitsky'
11088,"Sergei Sergeevich Prokofiev to Marcel de Valmalète, 16 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 342",16 August 1933,exact,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",Marcel de Valmalète,not_stated,45-47 Rue La Boétie,Paris,"45-47 Rue La Boétie, Paris",original,letter,draft,Russian,Typed draft.
11089,"Sergei Sergeevich Prokofiev to Guido Boni, 17 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 343",17 August 1933,exact,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",Guido Boni,not_stated,Via Vittoria 6,Rome,"Via Vittoria 6, Rome",original,letter,draft,French,Typed draft.
11090,"Clerical assistant to Sergei Sergeevich Prokofiev, 17 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 344",17 August 1933,exact,Clerical assistant,Organization Artistique Internationale Marcel de Valmaléte & Cie.,45-47 Rue La Boétie,Paris,"45-47 Rue La Boétie, Paris",Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",original,letter,typed,French,
11091,"Ivan Petrovich Vano to Sergei Sergeevich Prokofiev, 17 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 345",17 August 1933,exact,Ivan Petrovich Vano,not_stated,not_stated,Moscow,Moscow,Sergei Sergeevich Prokofiev,not_stated,not_stated,not_stated,not_stated,original,letter,typed,Russian,Originator: Also signed by 'Brumberg'.
11092,"A. Rabinovich to Sergei Sergeevich Prokofiev, 17 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 346",17 August 1933,exact,A. Rabinovich,not_stated,not_stated,Leningrad,Leningrad,Sergei Sergeevich Prokofiev,not_stated,not_stated,not_stated,not_stated,original,letter,handwritten,Russian,Originator's full address: 'B.Posadskaia ul. Kv. 28.'
11093,"Jerzy Fitelberg to Sergei Sergeevich Prokofiev, 18 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 349",18 August 1933,exact,Jerzy Fitelberg,not_stated,7 Villa Robert-Lindet,Paris,"7 Villa Robert-Lindet, Paris",Sergei Sergeevich Prokofiev,not_stated,not_stated,not_stated,not_stated,original,letter,handwritten,Russian,
11094,"Sergei Sergeevich Prokofiev to F. W. Gaisberg, 18 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 350",18 August 1933,exact,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",F. W. Gaisberg,not_stated,not_stated,Hayes,Hayes,original,letter,draft,English,Typed draft.
11095,"Clerical assistant to Sergei Sergeevich Prokofiev, 18 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 352",18 August 1933,exact,Clerical assistant,Organization Artistique Internationale Marcel de Valmaléte & Cie.,45-47 Rue La Boétie,Paris,"45-47 Rue La Boétie, Paris",Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",original,letter,typed,French,
11096,"Delaunay to Sergei Sergeevich Prokofiev, 18 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 353",18 August 1933,exact,Delaunay,not_stated,2 Rue Turgot,Paris,"2 Rue Turgot, Paris",Sergei Sergeevich Prokofiev,not_stated,not_stated,not_stated,not_stated,original,letter,typed,French,
11097,"Sergei Sergeevich Prokofiev to Director, 18 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 354",18 August 1933,exact,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",Director,Société Phonographique Parlophone,161 Rue du Temple,Paris,"161 Rue du Temple, Paris",original,letter,draft,French,Typed draft.
11098,"Gleb Dmitrievich Kharlamov to Sergei Sergeevich Prokofiev, 19 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 355",19 August 1933,exact,Gleb Dmitrievich Kharlamov,not_stated,not_stated,Moscow,Moscow,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",original,telegram,typed,Russian,
11099,"Director to Sergei Sergeevich Prokofiev, 19 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 356",19 August 1933,exact,Director,"Upravlenie Gosudarstvennogo Obyedineniya Muzyki, Estrady, i Tsirkov",Tsvetnoi Bulvar 13,Moscow,"Tsvetnoi Bulvar 13, Moscow",Sergei Sergeevich Prokofiev,not_stated,not_stated,Paris,Paris,original,letter,typed,Russian,Originator(s): 'Dankman' and 'Iudelevich'.
11100,"Sergei Sergeevich Prokofiev to Marcel de Valmalète, 19 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 358",19 August 1933,exact,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",Marcel de Valmalète,not_stated,45-47 Rue La Boétie,Paris,"45-47 Rue La Boétie, Paris",original,letter,draft,French,Typed draft.
11101,"Gleb Dmitrievich Kharlamov to Sergei Sergeevich Prokofiev, 19 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 359",19 August 1933,exact,Gleb Dmitrievich Kharlamov,not_stated,not_stated,Moscow,Moscow,Sergei Sergeevich Prokofiev,not_stated,not_stated,not_stated,not_stated,original,letter,typed,Russian,
11102,"Levon Tadevosovich Atovmian to Sergei Sergeevich Prokofiev, 20 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 360",20 August 1933,exact,Levon Tadevosovich Atovmian,not_stated,not_stated,Moscow,Moscow,Sergei Sergeevich Prokofiev,not_stated,not_stated,not_stated,not_stated,original,letter,typed,Russian,
11103,"Clerical assistant to Sergei Sergeevich Prokofiev, 21 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 362",21 August 1933,exact,Clerical assistant,Organization Artistique Internationale Marcel de Valmaléte & Cie.,45-47 Rue La Boétie,Paris,"45-47 Rue La Boétie, Paris",Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",original,letter,typed,French,Notes in SPs hand at the bottom (in English)
11104,"F. W. Gaisberg to Sergei Sergeevich Prokofiev, 21 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 364",21 August 1933,exact,F. W. Gaisberg,"The Gramophone Company, Ltd.",not_stated,Hayes,Hayes,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",original,letter,typed,English,
